# The exercise vocabulary (DESIGN_strength_tracking.md §4): one exercise per line,
# its movement pattern, its equipment class, and the Garmin names that mean it.
# A Garmin name is CATEGORY/NAME; a bare CATEGORY is a set tagged with the category
# and no exercise. Authored from Garmin Connect's exercise catalog and the FIT SDK
# exercise names on 2026-09-14; a name Garmin adds later is added here by hand.
# The photos column is the id of the same exercise in Free Exercise DB (public domain), whose
# two photos the gym logger shows (DESIGN_gym_logger.md §2); empty when it has no exact match.
# exercise	pattern	equipment	garmin names	photos
overhead dumbbell lunge	single_leg	dumbbell	LUNGE/OVERHEAD_DUMBBELL_LUNGE
overhead dumbbell reverse lunge	single_leg	dumbbell	LUNGE/OVERHEAD_DUMBBELL_REVERSE_LUNGE
overhead dumbbell split squat	single_leg	dumbbell	LUNGE/OVERHEAD_DUMBBELL_SPLIT_SQUAT
overhead lunge	single_leg	dumbbell	LUNGE/OVERHEAD_LUNGE
overhead lunge with rotation	single_leg	dumbbell	LUNGE/OVERHEAD_LUNGE_WITH_ROTATION
reverse barbell box lunge	single_leg	barbell	LUNGE/REVERSE_BARBELL_BOX_LUNGE	Elevated_Back_Lunge
reverse box lunge	single_leg	bodyweight	LUNGE/REVERSE_BOX_LUNGE
reverse dumbbell box lunge	single_leg	dumbbell	LUNGE/REVERSE_DUMBBELL_BOX_LUNGE
reverse dumbbell crossover lunge	single_leg	dumbbell	LUNGE/REVERSE_DUMBBELL_CROSSOVER_LUNGE
reverse dumbbell diagonal lunge	single_leg	dumbbell	LUNGE/REVERSE_DUMBBELL_DIAGONAL_LUNGE
reverse lunge with reach back	single_leg	bodyweight	LUNGE/REVERSE_LUNGE_WITH_REACH_BACK LUNGE/WEIGHTED_REVERSE_LUNGE_WITH_REACH_BACK
reverse lunge with twist and overhead reach	single_leg	bodyweight	LUNGE/REVERSE_LUNGE_WITH_TWIST_AND_OVERHEAD_REACH LUNGE/WEIGHTED_REVERSE_LUNGE_WITH_TWIST_AND_OVERHEAD_REACH
reverse sliding box lunge	single_leg	bodyweight	LUNGE/REVERSE_SLIDING_BOX_LUNGE LUNGE/WEIGHTED_REVERSE_SLIDING_BOX_LUNGE
reverse sliding lunge	single_leg	bodyweight	LUNGE/REVERSE_SLIDING_LUNGE LUNGE/WEIGHTED_REVERSE_SLIDING_LUNGE
ruck overhead lunge	single_leg	dumbbell	LUNGE/RUCK_OVERHEAD_LUNGE
ruck back lunge	single_leg	dumbbell	LUNGE/RUCK_BACK_LUNGE
runners lunge to balance	single_leg	bodyweight	LUNGE/RUNNERS_LUNGE_TO_BALANCE LUNGE/WEIGHTED_RUNNERS_LUNGE_TO_BALANCE
scissor power switch	single_leg	dumbbell	LUNGE/SCISSOR_POWER_SWITCH
shifting side lunge	single_leg	dumbbell	LUNGE/SHIFTING_SIDE_LUNGE
side and crossover lunge	single_leg	bodyweight	LUNGE/SIDE_AND_CROSSOVER_LUNGE LUNGE/WEIGHTED_SIDE_AND_CROSSOVER_LUNGE
side lunge	single_leg	bodyweight	LUNGE/SIDE_LUNGE LUNGE/WEIGHTED_SIDE_LUNGE SANDBAG/SIDE_LUNGE SUSPENSION/SIDE_LUNGE
side lunge and press	single_leg	dumbbell	LUNGE/SIDE_LUNGE_AND_PRESS
side lunge jump off	accessory	dumbbell	LUNGE/SIDE_LUNGE_JUMP_OFF
side lunge sweep	single_leg	bodyweight	LUNGE/SIDE_LUNGE_SWEEP LUNGE/WEIGHTED_SIDE_LUNGE_SWEEP
side lunge to crossover tap	single_leg	bodyweight	LUNGE/SIDE_LUNGE_TO_CROSSOVER_TAP LUNGE/WEIGHTED_SIDE_LUNGE_TO_CROSSOVER_TAP
side to side lunge chops	single_leg	bodyweight	LUNGE/SIDE_TO_SIDE_LUNGE_CHOPS LUNGE/WEIGHTED_SIDE_TO_SIDE_LUNGE_CHOPS
